name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Apache Hudi,,https://hudi.apache.org/,logos/c30149c1c937d23f2fd39bbb2117709cd9894bc6b86012da14634ebedfa0f241.png,,,,,,,Apache License 2.0,,This is the description of item 6,,,,,,,,,,,,Data Table Format,Open Table Format,true,https://github.com/apache/hudi,5357,"Upserts, Deletes And Incremental Processing on Big Data.",2024-10-12,https://github.com/apache/hudi/commit/7530e4fa48fb6c32e9cafb587914521bbbb4bc23,2024-06-06,https://github.com/apache/hudi/releases/tag/release-0.15.0,2016-12-16,https://github.com/apache/hudi/commit/0512da094bad2f3bcd2ddddc29e8abfec175dcfe,506,https://github.com/apache/hudi/graphs/contributors,,,,,,,,,,,,
Apache Iceberg,,https://iceberg.apache.org/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,Apache License 2.0,,This is the description of item 7,,,,,,,,,,,,Data Table Format,Open Table Format,true,https://github.com/apache/iceberg,6282,Apache Iceberg,2024-10-09,https://github.com/apache/iceberg/commit/67dc9e58cd57d953726677698e38975aac45908a,2024-08-27,https://github.com/apache/iceberg/releases/tag/apache-iceberg-1.6.1,2017-12-13,https://github.com/apache/iceberg/commit/a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,511,https://github.com/apache/iceberg/graphs/contributors,,,,,,,,,,,,
Clickhouse,,https://clickhouse.com/,logos/bab41a79b88fb776814c54f2b5437e590fb1c017e59724b0c061ba9ba6adc0bc.png,,,,,,,Apache License 2.0,,This is the description of item 3,,,,,,,,,,,,Compute (SQL),Ingestion,true,https://github.com/ClickHouse/ClickHouse,37089,ClickHouseÂ® is a real-time analytics DBMS,2024-10-12,https://github.com/ClickHouse/ClickHouse/commit/5b9f9a26071f00302fb2ee0176185d758d38d580,2024-10-08,https://github.com/ClickHouse/ClickHouse/releases/tag/v24.3.12.75-lts,2008-12-01,https://github.com/ClickHouse/ClickHouse/commit/d98b7d731555ae78ce7cdd7c7f4c8f8e302e71aa,2241,https://github.com/ClickHouse/ClickHouse/graphs/contributors,,,,,,,,,,,,
Delta Lake,,https://delta.io/,logos/d8e04686b4bf83cc75daf9dc112e81a76f9bb88b487a82d46db074928ed94ea8.png,,,,,,,Apache License 2.0,,This is the description of item 8,,,,,,,,,,,,Data Table Format,Open Table Format,true,https://github.com/delta-io/delta,7511,"An open-source storage framework that enables building a Lakehouse architecture with compute engines including Spark, PrestoDB, Flink, Trino, and Hive and APIs",2024-10-11,https://github.com/delta-io/delta/commit/5d2a275b55fa07930a51034239c6e33972a5bc90,2024-09-26,https://github.com/delta-io/delta/releases/tag/v3.2.1,2019-04-12,https://github.com/delta-io/delta/commit/14cb4e0267cc188e0fdd47e5b4f0235baf87874e,351,https://github.com/delta-io/delta/graphs/contributors,,,,,,,,,,,,
Item 1,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,Apache License 2.0,,This is the description of item 1,,,,,,,,,,,,Compute (SQL),Ingestion,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 1,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,Apache License 2.0,,This is the description of item 1,,,,,,,,,,,,Compute (Python),Ingestion,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 2,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,Apache License 2.0,,This is the description of item 2,,,,,,,,,,,,Compute (Python),Ingestion,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 3,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,This is the description of item 3,,,,,,,,,,,,Compute (Python),Ingestion,,,,,,,,,,,,,,,,,,,,,,,,
Item 4,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 4,,,,,,,,,,,,Compute (SQL),Transformation,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 4,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,hudi,,Apache License 2.0,,This is the description of item 4,,,,,,,,,,,,Compute (SQL),Query,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 4,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 4,,,,,,,,,,,,Compute (Python),Transformation,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 4,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 4,,,,,,,,,,,,Compute (Python),Query,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 5,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 5,,,,,,,,,,,,Compute (SQL),Transformation,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 5,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 5,,,,,,,,,,,,Compute (SQL),Query,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 5,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 5,,,,,,,,,,,,Compute (Python),Transformation,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 5,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 5,,,,,,,,,,,,Compute (Python),Query,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 6,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,Apache License 2.0,,This is the description of item 6,,,,,,,,,,,,Data Catalog,Apache Hudi,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 6,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,Apache License 2.0,,This is the description of item 6,,,,,,,,,,,,Data Catalog,Apache Iceberg,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 6,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,Apache License 2.0,,This is the description of item 6,,,,,,,,,,,,Data Catalog,Delta Lake,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 6,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,graduated,,Apache License 2.0,,This is the description of item 6,,,,,,,,,,,,Data Storage,Object Store,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 7,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,Apache License 2.0,,This is the description of item 7,,,,,,,,,,,,Data Catalog,Apache Hudi,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 7,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,Apache License 2.0,,This is the description of item 7,,,,,,,,,,,,Data Catalog,Apache Iceberg,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 7,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,Apache License 2.0,,This is the description of item 7,,,,,,,,,,,,Data Catalog,Delta Lake,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 7,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,sandbox,,Apache License 2.0,,This is the description of item 7,,,,,,,,,,,,Data Storage,Object Store,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
Item 8,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,This is the description of item 8,,,,,,,,,,,,Data Catalog,Apache Hudi,,,,,,,,,,,,,,,,,,,,,,,,
Item 8,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,This is the description of item 8,,,,,,,,,,,,Data Catalog,Apache Iceberg,,,,,,,,,,,,,,,,,,,,,,,,
Item 8,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,This is the description of item 8,,,,,,,,,,,,Data Catalog,Delta Lake,,,,,,,,,,,,,,,,,,,,,,,,
Item 8,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,This is the description of item 8,,,,,,,,,,,,Data Storage,Object Store,,,,,,,,,,,,,,,,,,,,,,,,
Item 9,,https://cncf.io,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,https://twitter.com/CloudNativeFdn,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,,,,Apache License 2.0,,This is the description of item 9,,,,,,,,,,,,Data Storage,HDFS,true,https://github.com/cncf/landscape2,143,Landscape2 is a tool that generates interactive landscapes websites,2024-10-11,https://github.com/cncf/landscape2/commit/feb481c302278c846cceee1e97b3a369f4223eba,2024-07-24,https://github.com/cncf/landscape2/releases/tag/v0.10.0,2023-06-13,https://github.com/cncf/landscape2/commit/4a5f127721ec631e89275dd92b7aa078386d8fb7,8,https://github.com/cncf/landscape2/graphs/contributors,,,,,,,,,,,,
StarRocks,,https://starrocks.io,logos/b5dad723ce1e59ec6b896c409b10083c8fbf0fb78fb30e74005726e2463b11fe.png,,,,,,,Apache License 2.0,,An OLAP engine,,,,,,,,,,,,Compute (SQL),Ingestion,true,https://github.com/StarRocks/starrocks,8773,"StarRocks, a Linux Foundation project, is a next-generation sub-second MPP OLAP database for full analytics scenarios, including multi-dimensional analytics, real-time analytics, and ad-hoc queries.  ",2024-10-12,https://github.com/StarRocks/starrocks/commit/b550d075abdb5453b3e09b2de6dae53fb83fce52,2024-09-30,https://github.com/StarRocks/starrocks/releases/tag/3.3.4,2021-09-04,https://github.com/StarRocks/starrocks/commit/5fa55b8199f3b50fbb06ad686f979ec9d87da37d,406,https://github.com/StarRocks/starrocks/graphs/contributors,,,,,,,,,,,,
